Site,Plot,Distance,Plant,Leaves,Area,Biomass,Shoots
Kbira,D,21.22,Seagrass,7,74.825,0.3714,106.122449
Kbira,D,21.22,Seagrass,5,36.3375,0.1464,122.4489796
Kbira,D,21.22,Seagrass,8,187.7433333,0.9443,130.6122449
Kbira,D,21.22,Seagrass,8,184.8366666,0.8972,NA
Kbira,D,21.22,Seagrass,8,172.9166667,0.96,NA
Kbira,D,21.22,Seagrass,5,66.9,0.2855,NA
Kbira,D,21.22,Seagrass,8,164.74,0.764,NA
Kbira,D,21.22,Seagrass,7,68.495,0.3195,NA
Kbira,D,21.22,Seagrass,5,110.2966667,0.1476,NA
Kbira,D,21.22,Seagrass,5,53.53,0.2192,NA
Kbira,C,27.94,Seagrass,7,67.6,0.3157,146.9387755
Kbira,C,27.94,Seagrass,8,87.79333333,0.4585,138.7755102
Kbira,C,27.94,Seagrass,8,136.495,0.7082,212.244898
Kbira,C,27.94,Seagrass,7,115.5616667,0.5337,NA
Kbira,C,27.94,Seagrass,7,69.83666667,0.333,NA
Kbira,C,27.94,Seagrass,6,49.26333333,0.2255,NA
Kbira,C,27.94,Seagrass,7,70.83833333,0.3322,NA
Kbira,C,27.94,Seagrass,8,128.4683333,0.6511,NA
Kbira,C,27.94,Seagrass,9,125.1566667,0.6799,NA
Kbira,C,27.94,Seagrass,7,152.29,0.5984,NA
Kbira,B,70.53,Seagrass,6,168.13,0.9015,195.9183673
Kbira,B,70.53,Seagrass,6,222.64,0.7471,179.5918367
Kbira,B,70.53,Seagrass,6,145.3683334,0.7051,130.6122449
Kbira,B,70.53,Seagrass,6,162.2666667,0.8772,NA
Kbira,B,70.53,Seagrass,6,148.795,0.7734,NA
Kbira,B,70.53,Seagrass,6,73.99,0.3309,NA
Kbira,B,70.53,Seagrass,5,124.5116667,0.6766,NA
Kbira,B,70.53,Seagrass,10,113.4333333,0.6911,NA
Kbira,B,70.53,Seagrass,7,89.755,0.4713,NA
Kbira,B,70.53,Seagrass,8,117.9766667,0.6112,NA
Kbira,A,70.78,Seagrass,7,94.66,0.5477,187.755102
Kbira,A,70.78,Seagrass,5,48.18333334,0.2452,155.1020408
Kbira,A,70.78,Seagrass,6,94.39833333,0.5357,163.2653061
Kbira,A,70.78,Seagrass,5,75.13666666,0.4358,NA
Kbira,A,70.78,Seagrass,6,118.1883334,0.7016,NA
Kbira,A,70.78,Seagrass,8,106.8616667,0.5617,NA
Kbira,A,70.78,Seagrass,6,74.04666667,0.399,NA
Kbira,A,70.78,Seagrass,6,94.475,0.5568,NA
Kbira,A,70.78,Seagrass,6,87.46,0.4896,NA
Kbira,A,70.78,Seagrass,6,100.9116667,0.6539,NA
Zghira,D,36.35,Seagrass,5,164.03,1.0125,122.4489796
Zghira,D,36.35,Seagrass,5,148.79,0.903,106.122449
Zghira,D,36.35,Seagrass,4,96.45,0.5324,65.30612245
Zghira,D,36.35,Seagrass,5,107.77,0.6484,NA
Zghira,D,36.35,Seagrass,6,177.69,1.1515,NA
Zghira,D,36.35,Seagrass,5,131.41,0.7384,NA
Zghira,D,36.35,Seagrass,4,81.87,0.3931,NA
Zghira,D,36.35,Seagrass,6,132.45,0.6999,NA
Zghira,D,36.35,Seagrass,3,89.94,0.4405,NA
Zghira,D,36.35,Seagrass,6,169.96,1.0174,NA
Zghira,C,45.83,Seagrass,6,90.66,0.5016,122.4489796
Zghira,C,45.83,Seagrass,7,227.2,1.2335,97.95918367
Zghira,C,45.83,Seagrass,4,35.09,0.1962,106.122449
Zghira,C,45.83,Seagrass,6,228.5,1.2245,NA
Zghira,C,45.83,Seagrass,6,125.75,0.7597,NA
Zghira,C,45.83,Seagrass,6,132.46,0.7458,NA
Zghira,C,45.83,Seagrass,6,157.76,0.8506,NA
Zghira,C,45.83,Seagrass,9,242.34,1.4792,NA
Zghira,C,45.83,Seagrass,6,125.55,0.7828,NA
Zghira,C,45.83,Seagrass,8,185.74,1.0634,NA
Zghira,B,67.21,Seagrass,5,194.99,1.038,97.95918367
Zghira,B,67.21,Seagrass,6,254.76,1.3201,40.81632653
Zghira,B,67.21,Seagrass,5,104.77,0.5155,114.2857143
Zghira,B,67.21,Seagrass,7,195.17,1.2212,NA
Zghira,B,67.21,Seagrass,6,265.76,1.4641,NA
Zghira,B,67.21,Seagrass,7,296.97,1.7823,NA
Zghira,B,67.21,Seagrass,5,185.18,1.0391,NA
Zghira,B,67.21,Seagrass,6,255.13,1.4672,NA
Zghira,B,67.21,Seagrass,6,252.77,1.3221,NA
Zghira,B,67.21,Seagrass,7,288.17,1.8297,NA
Zghira,A,68.63,Seagrass,6,151.76,1.0081,163.2653061
Zghira,A,68.63,Seagrass,4,102.56,0.6856,97.95918367
Zghira,A,68.63,Seagrass,6,147.35,0.9679,32.65306122
Zghira,A,68.63,Seagrass,7,323.86,2.5582,NA
Zghira,A,68.63,Seagrass,5,127.06,0.8147,NA
Zghira,A,68.63,Seagrass,5,195.17,1.2025,NA
Zghira,A,68.63,Seagrass,6,254.76,1.7043,NA
Zghira,A,68.63,Seagrass,6,217.67,1.6081,NA
Zghira,A,68.63,Seagrass,6,92.43,0.4759,NA
Zghira,A,68.63,Seagrass,5,153.75,0.7678,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.0375,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.0235,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.1641,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.181,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.1698,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.0228,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.0185,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.0139,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.0162,NA
Kbira,D,21.22,Epiphytes,NA,NA,0.0873,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0157,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0068,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0116,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0484,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.1173,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0784,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0182,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0536,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0664,NA
Kbira,C,27.94,Epiphytes,NA,NA,0.0424,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.2373,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.1466,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.1596,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.3133,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.1153,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.0399,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.1865,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.0897,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.0223,NA
Kbira,B,70.53,Epiphytes,NA,NA,0.0289,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0239,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0054,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0284,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0763,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.1837,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0584,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0457,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0976,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.084,NA
Kbira,A,70.78,Epiphytes,NA,NA,0.0674,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.1631,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.1931,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.1569,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.1179,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.2743,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.0729,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.0241,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.0495,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.028,NA
Zghira,D,36.35,Epiphytes,NA,NA,0.2848,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.0698,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.3157,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.0195,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.4888,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.1778,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.2517,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.2773,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.1286,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.0536,NA
Zghira,C,45.83,Epiphytes,NA,NA,0.1926,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.2353,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.426,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.0835,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.3177,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.4245,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.4044,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.2027,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.0419,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.0429,NA
Zghira,B,67.21,Epiphytes,NA,NA,0.3992,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.3387,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.2557,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.5616,NA
Zghira,A,68.63,Epiphytes,NA,NA,1.0715,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.1362,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.5322,NA
Zghira,A,68.63,Epiphytes,NA,NA,1.0259,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.8904,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.0722,NA
Zghira,A,68.63,Epiphytes,NA,NA,0.1963,NA
