Site,Plot,Distance,Label,Hippolyte inermis,Jujubinus exasperatus,Rissoa variabilis,Mysida sp A,Alvania discors,Hyale sp,Leptochelia sp,Amphitoe ramondi,Rissoa oriscalpium ,Leucothoe spinicapra,Gibbula umbilicaris,Alvania lineata,Asterina gibbosa,Syllidae sp B,Rissoa sp. A,Dexamine,Gnathia sp,Photis sp. ,Nereis rava,Tricolia pullus,Calliostoma conulus ,Tricolia speciosa,Opeatogenys gracilis,Columbella rustica,Aoridae sp,Rissoa sp. B (juvenile oriscalpum),Apherusa bispinosa,Nematonereis unicornis,Jujubinus striatus,Cheirocratus sundevalli,Idotea sp,Apseudes sp,Lysianassa,Amphilocus,Ampeliska ,Cestopagurus timidus,Syllidae sp A,Calcinus ornatus,Anapagurus sp,Idotea linearis,Apherusa sp,Cirolana,Amphipholis squamata,Ophellidae sp,Bittium latreillii,Isopoda sp,Eurydice,Iphimedia,Palaemon sp,Cumacea sp,Polyophthalmus sp,Nemertea sp,Syllidae sp C,Phyllodocidae,Opistobranchia,Monophorus sp.,Trivia pulex,Mitrolumna olivoidea,Nudibranchia sp.,Rissoa sp. C,Gibbula ardens,Gibberula miliaria,Alvania mamillata,Muricopsis cristata,Aspidosiphon muelleri,Philinopsis sp.,Crustacea,Mollusca,Echinodermata,Polychaeta,Sipunculida,Vertebrata,Crustacea S,Mollusca S,Echinodermata S,Polychaeta S,Sipunculida S,Vertebrata S
Kbira,D,21.22,KD1,6,2,1,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,1,0,0,2,6,0,1,0,0
Kbira,D,21.22,KD2,11,3,2,1,2,1,0,1,2,0,6,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,18,0,2,0,0,8,8,0,2,0,0
Kbira,C,27.94,KC1,9,1,2,1,2,7,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,8,7,0,0,0,0
Kbira,C,27.94,KC2,13,4,1,1,0,21,0,6,1,0,1,0,1,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,45,10,1,1,0,2,8,6,1,1,0,1
Kbira,B,70.53,KB1,8,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,6,2,0,0,0,0
Kbira,B,70.53,KB2,12,1,2,1,5,2,0,2,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,1,0,0,9,5,0,1,0,0
Kbira,A,70.78,KA1,4,2,0,0,0,3,0,1,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,2,0,0,5,5,0,1,0,0
Kbira,A,70.78,KA2,15,1,0,1,0,6,1,2,0,0,0,0,0,7,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,10,0,0,9,1,0,3,0,0
Zghira,D,36.35,ZD1,34,18,4,11,2,0,40,1,1,4,2,0,3,0,0,0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,100,33,3,1,1,1,13,11,1,1,1,1
Zghira,D,36.35,ZD2,39,0,7,10,4,4,0,0,4,2,1,0,7,0,1,1,1,2,1,1,0,0,1,1,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,66,21,8,2,0,1,13,9,2,2,0,1
Zghira,C,45.83,ZC1,25,27,1,8,10,0,0,5,1,2,0,3,3,0,3,0,0,2,0,1,2,2,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,54,3,1,0,1,7,12,1,1,0,1
Zghira,C,45.83,ZC2,32,12,4,3,4,0,0,1,0,1,0,1,1,0,5,1,1,0,1,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,35,1,1,0,0,7,10,1,1,0,0
Zghira,B,67.21,ZB1,21,20,7,10,11,0,0,0,4,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,47,0,4,0,1,5,8,0,4,0,1
Zghira,B,67.21,ZB2,28,15,11,17,6,0,0,2,5,8,0,3,0,0,0,3,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,45,1,2,0,0,7,8,1,2,0,0
Zghira,A,68.63,ZA1,17,13,11,2,3,0,0,6,4,0,0,1,0,0,2,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,0,1,0,0,6,8,0,1,0,0
Zghira,A,68.63,ZA2,5,9,24,5,1,0,0,1,3,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,41,0,2,0,0,6,7,0,1,0,0